Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
Hilda Ram	https://www.dbnl.org/auteurs/auteur.php?id=ram_002	ram_002	Hilda	Ram	Hilda Ram/Mathilda Ramboux	1858-10-31	Antwerpen	België (Vlaanderen)	1901-07-12	Antwerpen	België (Vlaanderen)	female	leraar/docent/hoogleraar	Negentiende Eeuw	nl	secundair/jeugdliteratuur		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Johan Winkler	https://www.dbnl.org/auteurs/auteur.php?id=wink007	wink007	Johan	Winkler	Johan Winkler	1840-09-12	Leeuwarden	Nederland	1916-03-11			male		Negentiende Eeuw	nl	taalkunde/fries				
Hector Claeys	https://www.dbnl.org/auteurs/auteur.php?id=clae027	clae027	Hector-Leo	Claeys	Hector Claeys	1855-12-18	Oedelem	België (Vlaanderen)	1925-09-03	Kanegem	België (Vlaanderen)	male	rk-geestelijke/kloosterling	Negentiende Eeuw	nl			rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
August Cuppens	https://www.dbnl.org/auteurs/auteur.php?id=cupp001	cupp001	August	Cuppens	August Cuppens	1862-05-22	Beringen	België (Vlaanderen)	1924-05-01	Loksbergen	België (Vlaanderen)	male	rk-geestelijke/kloosterling	19e/20e Eeuw	nl	jeugdliteratuur		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Hendrik Persyn	https://www.dbnl.org/auteurs/auteur.php?id=pers009	pers009	Hendrik	Persyn	Hendrik Persyn	1857-xx-xx			1933-xx-xx			male		19e/20e Eeuw	nl	nonfictie				
Gustaaf Verriest sr.	https://www.dbnl.org/auteurs/auteur.php?id=verr006	verr006	Gustaaf	Verriest sr.	Gustaaf Verriest sr.	1843-05-20	Deerlijk	België (Vlaanderen)	1918-06-25	Saint-Cloud	Frankrijk	male		19e/20e Eeuw	nl					
Hugo Verriest	https://www.dbnl.org/auteurs/auteur.php?id=verr007	verr007	Hugo Nestor	Verriest	Hugo Verriest	1840-11-25	Deerlijk	België (Vlaanderen)	1922-10-27	Ingooigem	België (Vlaanderen)	male	rk-geestelijke/kloosterling	19e/20e Eeuw	nl	secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Henri Donders	https://www.dbnl.org/auteurs/auteur.php?id=dond003	dond003	Hendrikus Johannes Maria	Donders	Henri Donders	1870-xx-xx			1932-xx-xx			male		Negentiende Eeuw	nl					
Eug. de Lepeleer	https://www.dbnl.org/auteurs/auteur.php?id=lepe002	lepe002	Eug.	de Lepeleer	Eug. Delepeleer/Eug. de Lepeleer	1856-xx-xx			1923-xx-xx			male	rk-geestelijke/kloosterling/vertaler	19e/20e Eeuw	nl			rooms-katholiek geestelijke/kloosterling/vertaler	2.0/4.0/4.0	2.0
A.M.J.I. Binnewiertz	https://www.dbnl.org/auteurs/auteur.php?id=binn009	binn009	A.M.J.I.	Binnewiertz	A.M.J.I. Binnewiertz	1870-xx-xx			1915-xx-xx			male	rk-geestelijke/kloosterling	19e/20e Eeuw	nl			rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Alfons Jozef Maria Janssens	https://www.dbnl.org/auteurs/auteur.php?id=jans053	jans053	Alfons Jozef Maria	Janssens	Alfons Jozef Maria Janssens	1841-10-16	Sint-Niklaas	België (Vlaanderen)	1906-xx-xx			male		19e/20e Eeuw	nl					
Delfien Vanhaute	https://www.dbnl.org/auteurs/auteur.php?id=vanh006	vanh006	Delfien	Vanhaute	Delfien Vanhaute/Eckart	1869-09-02	Ardooie	België (Vlaanderen)	1944-02-03	Edewalle	België (Vlaanderen)	male	rk-geestelijke/kloosterling	19e/20e Eeuw	nl			rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Jaak Muyldermans	https://www.dbnl.org/auteurs/auteur.php?id=muyl003	muyl003	Jacob	Muyldermans	Jaak Muyldermans	1855-09-08	Kapelle op den Bos	België (Vlaanderen)	1929-09-11	Mechelen	België (Vlaanderen)	male		19e/20e Eeuw	nl	jeugdliteratuur				
Omer Karel de Laey	https://www.dbnl.org/auteurs/auteur.php?id=laey001	laey001	Omer Karel	de Laey	Omer Karel de Laey	1876-09-13	Hooglede	België (Vlaanderen)	1909-12-16	Hooglede	België (Vlaanderen)	male	advocaat/jurist	Twintigste Eeuw	nl	jeugdliteratuur		advocaat/jurist	2.0/2.0	2.0
A.W. Sanders van Loo	https://www.dbnl.org/auteurs/auteur.php?id=sand014	sand014	A.W.	Sanders van Loo	A.W. Sanders van Loo	1860-xx-xx			1939-xx-xx			female	vertaler	19e/20e Eeuw	nl	nonfictie		vertaler	4.0	4.0
H.J.A.M. Schaepman	https://www.dbnl.org/auteurs/auteur.php?id=scha024	scha024	Herman Johan Aloysius Maria	Schaepman	H.J.A.M. Schaepman	1844-03-02	Tubbergen	Nederland	1903-01-21	Rome	Italië	male	kloosterling/staatsman/bestuurder/politicus/rk-geestelijke	Negentiende Eeuw	nl	nonfictie		bestuurder/ambtman/kloosterling/rooms-katholiek geestelijke	1.0/1.0/4.0/2.0	1.0
Jozef Jacobs	https://www.dbnl.org/auteurs/auteur.php?id=jaco012	jaco012	Jozef	Jacobs	Jozef Jacobs	1873-xx-xx			1938-xx-xx			male		19e/20e Eeuw		taalkunde				
Jan Emiel Vliebergh	https://www.dbnl.org/auteurs/auteur.php?id=vlie022	vlie022	Jan Emiel	Vliebergh	Jan Emiel Vliebergh	1872-01-24	Zoutleeuw	België (Vlaanderen)	1925-01-06	Leuven	België (Vlaanderen)	male	leraar/docent/hoogleraar	19e/20e Eeuw	nl	secundair/jeugdliteratuur		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Prosper van Langendonck	https://www.dbnl.org/auteurs/auteur.php?id=lang021	lang021	Prosper	van Langendonck	Prosper van Langendonck	1862-03-15	Brussel	België (Brussel)	1920-11-07	Brussel	België (Brussel)	male		19e/20e Eeuw	nl					
Jacob Lenaerts	https://www.dbnl.org/auteurs/auteur.php?id=lena002	lena002	Leonardus Wilhelmus Jacobus	Lenaerts	Jacob Lenaerts	1862-xx-xx			1913-xx-xx			male		19e/20e Eeuw	nl					
Aloïs Walgrave	https://www.dbnl.org/auteurs/auteur.php?id=walg002	walg002	Aloïs	Walgrave	Aloïs Walgrave	1876-02-09	Gent	België (Vlaanderen)	1930-02-28	Brugge	België (Vlaanderen)	male	rk-geestelijke/uitgever/boekdrukker/kloosterling	Twintigste Eeuw	nl			uitgever/rooms-katholiek geestelijke/boekdrukker/kloosterling	1.0/2.0/7.0/4.0	1.0
Hendrik de Marez	https://www.dbnl.org/auteurs/auteur.php?id=mare009	mare009	Hendrik	de Marez	Hendrik de Marez	1870-01-31	Ronse	België (Vlaanderen)	1906-08-28	Merelbeke	België (Vlaanderen)	male		Negentiende Eeuw	nl					
Jef Hinderdael	https://www.dbnl.org/auteurs/auteur.php?id=hind001	hind001	Jef	Hinderdael	Jef Hinderdael/Neel Hiddar	1877-03-11	Gent	België (Vlaanderen)	1948-02-02	Soest	Nederland	male	uitgever/boekdrukker	19e/20e Eeuw				uitgever/boekdrukker	1.0/7.0	1.0
Pieter Danco	https://www.dbnl.org/auteurs/auteur.php?id=danc001	danc001	Pieter	Danco	Pieter Danco	1871-06-08	Antwerpen	België (Vlaanderen)			Verenigde Staten	male	zakenman/ambtenaar/indust./letterkundige (NIET-neerl.)/koopman	Twintigste Eeuw	nl			zakenman/industrieel/letterkundige/koopman/ambtenaar	4.0/1.0/2.0/4.0/5.0	1.0
C. van Ongeval	https://www.dbnl.org/auteurs/auteur.php?id=onge001	onge001	C.	van Ongeval	C. van Ongeval	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Frans Drijvers	https://www.dbnl.org/auteurs/auteur.php?id=drij006	drij006	Frans	Drijvers	Frans Drijvers	1858-xx-xx	Rotselaar	België (Vlaanderen)	1914-xx-xx	Willebroek	België (Vlaanderen)	male		19e/20e Eeuw	nl	secundair				
Paolo Gentili	https://www.dbnl.org/auteurs/auteur.php?id=gent016	gent016	Paolo	Gentili	Paolo Gentili	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
A. Dupont	https://www.dbnl.org/auteurs/auteur.php?id=dupo004	dupo004	A.	Dupont	A. Dupont	1868-07-13	Amsterdam	Nederland	1942-02-10	Ermelo	Nederland	male	apotheker/medicus	Twintigste Eeuw	nl	nonfictie		medicus/apotheker	2.0/2.0	2.0
Edward van Even	https://www.dbnl.org/auteurs/auteur.php?id=even001	even001	Geerard Edward	van Even	Edward van Even	1821-12-06	Leuven	België (Vlaanderen)	1905-02-11	Leuven	België (Vlaanderen)	male	archeoloog/historicus	19e/20e Eeuw	nl	secundair		antropoloog/oudheidkundige	2.0/2.0	2.0
Lambrecht Lambrechts	https://www.dbnl.org/auteurs/auteur.php?id=lamb015	lamb015	Lambrecht	Lambrechts	Jan van Hasselt/Lambrecht Lambrechts	1865-09-24	Hoeselt	België (Vlaanderen)	1932-07-13	Gent	België (Vlaanderen)	male	jongleur/musicus/minstreel	19e/20e Eeuw	nl			speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
L. Scharpé	https://www.dbnl.org/auteurs/auteur.php?id=scha041	scha041	Lodewijk	Scharpé	L. Scharpé	1869-10-24	Tielt	België (Vlaanderen)	1935-05-04	Betekom	België (Vlaanderen)	male	leraar/docent/hoogleraar	19e/20e Eeuw	nl	secundair/taalkunde		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Peter Jozef Tijsmans	https://www.dbnl.org/auteurs/auteur.php?id=tijs004	tijs004	Peter Jozef	Tijsmans	Peter Jozef Tijsmans	1843-01-12	Hoevenen	België (Vlaanderen)				male	onderwijzer (basisschool)	19e/20e Eeuw	nl			onderwijzer op een lagere school	4.0	4.0
Adriaen Lourisz Lepel	https://www.dbnl.org/auteurs/auteur.php?id=lepe001	lepe001	Adriaen Lourisz	Lepel	Adriaen Lourisz Lepel	15xx-xx-xx			16xx-xx-xx			male		Periode 1550-1700		nonfictie	Pellicaen\r			
Desideer Claes	https://www.dbnl.org/auteurs/auteur.php?id=clae003	clae003	Desideer	Claes	Caerdistels/Desideer Claes/Diederik/Désiré Claes	1836-12-26	Neerlinter	België (Vlaanderen)	1910-xx-xx			male	onderwijzer (basisschool)	Negentiende Eeuw	nl	taalkunde		onderwijzer op een lagere school	4.0	4.0
A.G. Welvaar	https://www.dbnl.org/auteurs/auteur.php?id=welv002	welv002	A.G.	Welvaar	A.G. Welvaar	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Th. Heidebrand	https://www.dbnl.org/auteurs/auteur.php?id=heid036	heid036	Thomas	Heidebrand	Th. Heidebrand	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
A. Weemaes	https://www.dbnl.org/auteurs/auteur.php?id=weem007	weem007	A.	Weemaes	A. Weemaes	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Edward de Grijse	https://www.dbnl.org/auteurs/auteur.php?id=grij003	grij003	Edward	de Grijse	Edward de Grijse	1848-03-16	Roeselare	België (Vlaanderen)	1909-xx-xx			male	onderwijzer (basisschool)/rk-geestelijke/kloosterling	Negentiende Eeuw	nl			rooms-katholiek geestelijke/onderwijzer op een lagere school/kloosterling	2.0/4.0/4.0	2.0
H. Bischoff	https://www.dbnl.org/auteurs/auteur.php?id=bisc004	bisc004	H.	Bischoff	H. Bischoff	18xx-xx-xx						male		19e/20e Eeuw		secundair				
Fr. Meeus	https://www.dbnl.org/auteurs/auteur.php?id=meeu023	meeu023	Fr.	Meeus	Fr. Meeus	18xx-xx-xx						male	apotheker/medicus	19e/20e Eeuw		nonfictie		medicus/apotheker	2.0/2.0	2.0
A. Verheyen	https://www.dbnl.org/auteurs/auteur.php?id=verh158	verh158	A.	Verheyen	A. Verheyen	18xx-xx-xx						male		19e/20e Eeuw						
H. Sermon	https://www.dbnl.org/auteurs/auteur.php?id=serm001	serm001	Hendrik	Sermon	H. Rede/H. Sermon/Hendrik van Walrave	1834-02-17	Sint-Pieters-Leeuw	België (Vlaanderen)	1904-08-02	Borgerhout	België (Vlaanderen)	male	onderwijzer (basisschool)/boekhandelaar	19e/20e Eeuw	nl	taalkunde		boekhandelaar/onderwijzer op een lagere school	4.0/4.0	4.0
van der Veur	https://www.dbnl.org/auteurs/auteur.php?id=veur002	veur002		van der Veur	van der Veur	18xx-xx-xx						male								
Lambert Jageneau	https://www.dbnl.org/auteurs/auteur.php?id=jage001	jage001	Lambert	Jageneau	Lambert Jageneau	1925-xx-xx			1984-xx-xx			male	redacteur/journalist	Twintigste Eeuw		secundair		redacteur/journalist	2.0/2.0	2.0
Alb. vander Elst	https://www.dbnl.org/auteurs/auteur.php?id=elst017	elst017	Alb.	vander Elst	Alb. vander Elst	18xx-xx-xx						male		19e/20e Eeuw		secundair				
Caesar Gezelle	https://www.dbnl.org/auteurs/auteur.php?id=geze001	geze001	Caesar	Gezelle	Caesar Gezelle	1875-10-23	Brugge	België (Vlaanderen)	1939-02-11	Moorsele	België (Vlaanderen)	male		Twintigste Eeuw	nl					
John Lancaster Spalding	https://www.dbnl.org/auteurs/auteur.php?id=lanc014	lanc014	John	Lancaster Spalding	John Lancaster Spalding	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Jules Persyn	https://www.dbnl.org/auteurs/auteur.php?id=pers011	pers011	Jules	Persyn	Jules Persyn	1878-04-20	Wachtbeke	België (Vlaanderen)	1933-10-10	Broechem	België (Vlaanderen)	male	tekenaar/leraar/hoogleraar/illustrator/docent/beeldend kunstenaar	19e/20e Eeuw	nl	secundair/jeugdliteratuur		hoogleraar/leraar/docent/beeldhouwer/illustrateur/tekenaar	2.0/2.0/2.0/4.0/4.0/4.0	2.0
Ch. Lucas	https://www.dbnl.org/auteurs/auteur.php?id=luca012	luca012	Ch.	Lucas	Ch. Lucas	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Florimond Heuvelmans	https://www.dbnl.org/auteurs/auteur.php?id=heuv013	heuv013	Florimond	Heuvelmans	Florimond Heuvelmans	1858-01-02	Antwerpen	België (Vlaanderen)	1931-04-21	Den Haag	Nederland	male	advocaat/jurist	19e/20e Eeuw	nl	secundair		advocaat/jurist	2.0/2.0	2.0
de Ticheleer	https://www.dbnl.org/auteurs/auteur.php?id=tich011	tich011		de Ticheleer	de Ticheleer	18xx-xx-xx						male								
Leo Goemans	https://www.dbnl.org/auteurs/auteur.php?id=goem002	goem002	Leo	Goemans	Leo Goemans	1869-xx-xx	Leuven	België (Vlaanderen)	1955-xx-xx			male		19e/20e Eeuw	nl	taalkunde				
Adolf de Ceuleneer	https://www.dbnl.org/auteurs/auteur.php?id=ceul006	ceul006	Adolf	de Ceuleneer	Adolf de Ceuleneer	1849-02-22	Dendermonde	België (Vlaanderen)	1924-11-25	Mortsel	België (Vlaanderen)	male		Negentiende Eeuw	nl					
Emiel de Grave	https://www.dbnl.org/auteurs/auteur.php?id=grav052	grav052	Emiel	de Grave	Emiel de Grave	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Mimosa	https://www.dbnl.org/auteurs/auteur.php?id=mimo001	mimo001		Mimosa	Mimosa	18xx-xx-xx						male								
A. Habets	https://www.dbnl.org/auteurs/auteur.php?id=habe010	habe010	Alfred	Habets	A. Habets	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Johannes Romboldus van der Lans	https://www.dbnl.org/auteurs/auteur.php?id=lans001	lans001	Johannes Romboldus	van der Lans	Johannes Romboldus van der Lans	1855-07-01	Den Haag	Nederland	1928-xx-xx			male	onderwijzer (basisschool)	19e/20e Eeuw	nl			onderwijzer op een lagere school	4.0	4.0
August Victor Bultijnck	https://www.dbnl.org/auteurs/auteur.php?id=bult008	bult008	August Victor	Bultijnck	August Victor Bultijnck	1844-01-09	Knesselare	België (Vlaanderen)				male		Negentiende Eeuw	nl					
P.C. de Bruyne-Klinkenberg	https://www.dbnl.org/auteurs/auteur.php?id=bruy091	bruy091	P.C.	de Bruyne-Klinkenberg	P.C. de Bruyne-Klinkenberg	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Melati van Java	https://www.dbnl.org/auteurs/auteur.php?id=mela002	mela002		Melati van Java	Mathilde/Max van Ravestein/Melati van Java/Nicolina Maria Christina Sloot	1853-01-13	Soerabaja	Indonesië	1927-06-13	Noordwijk aan Zee	Nederland	female								
Martin Brants	https://www.dbnl.org/auteurs/auteur.php?id=bran037	bran037	Martin	Brants	Martin Brants	1865-01-31	Stokkem	België (Vlaanderen)	1952-12-06	Schaarbeek	België (Brussel)	male	onderwijzer (basisschool)	19e/20e Eeuw		jeugdliteratuur		onderwijzer op een lagere school	4.0	4.0
Ed. Loos	https://www.dbnl.org/auteurs/auteur.php?id=loos031	loos031	Ed.	Loos	Ed. Loos	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Jan Kornelis de Cock	https://www.dbnl.org/auteurs/auteur.php?id=cock013	cock013	Jan Kornelis	de Cock	Jan Kornelis de Cock	1867-10-23	Vierhuizen	Nederland	1941-04-06	Davos	Zwitserland	male	letterkundige (NIET-neerl.)	19e/20e Eeuw	nl	secundair		letterkundige	2.0	2.0
J. Erembout	https://www.dbnl.org/auteurs/auteur.php?id=erem004	erem004	J.	Erembout	J. Erembout	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Johannes Jörgensen	https://www.dbnl.org/auteurs/auteur.php?id=jorg003	jorg003	Johannes	Jörgensen	Johannes Jörgensen	1866-11-06	Svendborg	Denemarken	1956-05-29			male		20e/21e Eeuw		buitenland				
Arthur Wenthworth Powell	https://www.dbnl.org/auteurs/auteur.php?id=went012	went012	Arthur	Wenthworth Powell	Arthur Wenthworth Powell/Arthur Wentworth Powell	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Jan Craeynest	https://www.dbnl.org/auteurs/auteur.php?id=crae010	crae010	Jan	Craeynest	Jan Craeynest	1858-03-01	Oostrozebeke	België (Vlaanderen)	1929-04-23	Sint-Michiels	België (Vlaanderen)	male	leraar/docent/hoogleraar	19e/20e Eeuw	nl	taalkunde		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Joz. vanden Eynde	https://www.dbnl.org/auteurs/auteur.php?id=eynd022	eynd022	Joz.	vanden Eynde	Joz. vanden Eynde	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Louisa Duykers	https://www.dbnl.org/auteurs/auteur.php?id=duyk001	duyk001	Louisa	Duykers	Louisa Duykers	1869-03-13	Antwerpen	België (Vlaanderen)	1952-12-20	Antwerpen	België (Vlaanderen)	female	letterkundige (NIET-neerl.)	19e/20e Eeuw	nl	jeugdliteratuur		letterkundige	2.0	2.0
H. van Houtte	https://www.dbnl.org/auteurs/auteur.php?id=hout100	hout100	Hubert	van Houtte	H. van Houtte	1872-12-31	Waregem	België (Vlaanderen)	1948-10-12	Gent	België (Vlaanderen)	male	leraar/docent/hoogleraar	19e/20e Eeuw	fr	nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
G.H. Haastert	https://www.dbnl.org/auteurs/auteur.php?id=haas042	haas042	G.H.	Haastert	G.H. Haastert	18xx-xx-xx						male		19e/20e Eeuw						
Adolf Rutten	https://www.dbnl.org/auteurs/auteur.php?id=rutt016	rutt016	Adolf	Rutten	Adolf Rutten	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Alphonse Naert	https://www.dbnl.org/auteurs/auteur.php?id=naer012	naer012	Alphonse	Naert	Alphonse Naert	1839-05-15	Brugge	België (Vlaanderen)	1907-03-26			male	architect/bouwkundig ingenieur/bouwmeester	19e/20e Eeuw	nl	nonfictie		bouwkundig ingenieur/architect/bouwmeester	2.0/2.0/1.0	1.0
Jan Stuyt	https://www.dbnl.org/auteurs/auteur.php?id=stuy007	stuy007	Jan	Stuyt	Jan Stuyt	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Eugène Isebaert	https://www.dbnl.org/auteurs/auteur.php?id=iseb001	iseb001	Eugène	Isebaert	Eugène Isebaert	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Alfons Mervillie	https://www.dbnl.org/auteurs/auteur.php?id=merv001	merv001	Alfons	Mervillie	Alfons Mervillie	1856-05-17	Wontergem	België (Vlaanderen)	1942-04-04	Kortrijk	België (Vlaanderen)	male	herv./leraar/geref. predikant	19e/20e Eeuw	nl			leraar/gereformeerd predikant	2.0/2.0	2.0
J. Salsmans	https://www.dbnl.org/auteurs/auteur.php?id=sals001	sals001	Jozef	Salsmans	J. Salsmans	1873-09-02	Antwerpen	België (Vlaanderen)	1944-01-19	Mechelen	België (Vlaanderen)	male		19e/20e Eeuw	nl	secundair				
Eugeen Leën	https://www.dbnl.org/auteurs/auteur.php?id=leen017	leen017	Eugeen	Leën	Eugeen Leën	1862-07-26	Hasselt	Nederland	1932-08-20	Hasselt	Nederland	male	uitgever/boekdrukker	19e/20e Eeuw		jeugdliteratuur		uitgever/boekdrukker	1.0/7.0	1.0
P.L. van den Heuvel	https://www.dbnl.org/auteurs/auteur.php?id=heuv048	heuv048	P.L.	van den Heuvel	P.L. van den Heuvel	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Jaak Boonen	https://www.dbnl.org/auteurs/auteur.php?id=boon018	boon018	Jaak	Boonen	Jaak Boonen	1875-xx-xx			1944-xx-xx			male		19e/20e Eeuw	nl					
C.P.F. Lecoutere	https://www.dbnl.org/auteurs/auteur.php?id=leco002	leco002	C.P.F.	Lecoutere	C.P.F. Lecoutere	1865-12-11	Antwerpen	België (Vlaanderen)	1921-09-29	Knokke	België (Vlaanderen)	male		19e/20e Eeuw	nl	secundair/taalkunde				
Paul Hamélius	https://www.dbnl.org/auteurs/auteur.php?id=hame005	hame005	Paul	Hamélius	Paul Hamélius	1868-04-26	Ieper	België (Vlaanderen)	1922-02-23	Luik	België (Wallonië)	male		19e/20e Eeuw	nl	secundair				
A. Prayon-van Zuylen	https://www.dbnl.org/auteurs/auteur.php?id=pray001	pray001	Alfons Maria Napoleon	Prayon-van Zuylen	A. Prayon-van Zuylen/Alfred Terlaenen	1848-11-19	Gent	België (Vlaanderen)	1916-xx-xx			male	advocaat/jurist	19e/20e Eeuw	nl	secundair		advocaat/jurist	2.0/2.0	2.0
J. Sencie	https://www.dbnl.org/auteurs/auteur.php?id=senc001	senc001	J.	Sencie	J. Sencie	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Simonart	https://www.dbnl.org/auteurs/auteur.php?id=simo072	simo072		Simonart	Simonart	18xx-xx-xx						male	apotheker/medicus					medicus/apotheker	2.0/2.0	2.0
P. Rutten	https://www.dbnl.org/auteurs/auteur.php?id=rutt021	rutt021	P.	Rutten	P. Rutten	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Constant Eeckels	https://www.dbnl.org/auteurs/auteur.php?id=eeck001	eeck001	Constant	Eeckels	Constant Eeckels	1879-09-05	Antwerpen	België (Vlaanderen)	1955-09-19	Elsene	België (Brussel)	male		19e/20e Eeuw	nl	jeugdliteratuur/nonfictie				
Henri W.J. Schouten	https://www.dbnl.org/auteurs/auteur.php?id=scho491	scho491	Henri W.J.	Schouten	Henri W.J. Schouten	18xx-xx-xx						male		19e/20e Eeuw						
H. de Vocht	https://www.dbnl.org/auteurs/auteur.php?id=voch001	voch001	H.	de Vocht	H. de Vocht	1878-xx-xx			1978-xx-xx			male	filosoof	Twintigste Eeuw		secundair/buitenland		doctor in de filosofie	2.0	2.0
C. Callewaert	https://www.dbnl.org/auteurs/auteur.php?id=call029	call029	Constant	Callewaert	C. Callewaert	1827-07-13	Deerlijk	België (Vlaanderen)				male	uitgever/boekdrukker	Negentiende Eeuw	fr	secundair/taalkunde/nonfictie		uitgever/boekdrukker	1.0/7.0	1.0
Lodewijk De Wolf	https://www.dbnl.org/auteurs/auteur.php?id=wolf069	wolf069	Lodewijk	De Wolf	Brom/H. van de Zande/Jan Hagel/L. Speurmans/Lodewijk De Wolf/T. Raepaert	1876-06-01	Brugge	België (Vlaanderen)	1929-11-12			male	kloosterling/leraar/hoogleraar/docent/rk-geestelijke	19e/20e Eeuw		secundair		hoogleraar/rooms-katholiek geestelijke/leraar/docent/kloosterling	2.0/2.0/2.0/2.0/4.0	2.0
I. Vandegaer	https://www.dbnl.org/auteurs/auteur.php?id=vand070	vand070	I.	Vandegaer	I. Vandegaer	18xx-xx-xx						male		19e/20e Eeuw		secundair				
F. Palmen	https://www.dbnl.org/auteurs/auteur.php?id=palm025	palm025	F.	Palmen	F. Palmen	18xx-xx-xx						male		19e/20e Eeuw		secundair				
Herman Linnebank	https://www.dbnl.org/auteurs/auteur.php?id=linn006	linn006	Hermanus Hubertus	Linnebank	Herman Linnebank	1875-xx-xx			1927-xx-xx			male	rk-geestelijke/kloosterling	19e/20e Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
O. Cornet	https://www.dbnl.org/auteurs/auteur.php?id=corn096	corn096	O.	Cornet	O. Cornet	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
Lodewijk Dosfel	https://www.dbnl.org/auteurs/auteur.php?id=dosf001	dosf001	Lodewijk	Dosfel	Godfried Hermans/Lodewijk Dosfel/Thomas van der Schelde/Zeemeeuwe	1881-03-25	Dendermonde	België (Vlaanderen)	1925-12-27	Dendermonde	België (Vlaanderen)	male	advocaat/jurist	Twintigste Eeuw	nl	secundair		advocaat/jurist	2.0/2.0	2.0
